Region,Maker,Brand,Model,Model year,Supplier,Products,Component category,Category
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"LianChuang Electronic Technology Co., Ltd. (Formerly China-Hemp Industrial Investment Co., Ltd.)",On-board camera,On-board Camera,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"LianChuang Electronic Technology Co., Ltd. (Formerly China-Hemp Industrial Investment Co., Ltd.)",On-board camera lens,On-board Camera,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2021,Valeo Group (China),Ultrasonic sensor,Park Assist System,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Suzhou Anjie Technology Co., Ltd.",Power steering ECU,Power Steering ECU,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2021,TE Connectivity Ltd. (Formerly Tyco Electronics Ltd.),High-voltage DC relay,Relay / Fuse,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Xiamen Hongfa Electroacoustic Co., Ltd.",High-voltage DC relay,Relay / Fuse,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2021,Shanghai Baolong Automotive Corporation,TPMS controller,Tire Pressure Monitoring System,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2021,Shanghai Baolong Automotive Corporation,TPMS transmitter,Tire Pressure Monitoring System,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2021,Shanghai Baolong Automotive Corporation,TPMS valve,Tire Pressure Monitoring System,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Far East Cable Co., Ltd.",High-voltage wiring harness,Wiring Harness,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Jiangsu Rixing Electronics Co., Ltd.",Rear view mirror wiring harness,Wiring Harness,Electrical
Americas,Tesla,Tesla,Model 3 (USA),2021,Sanden Corporation (Formerly Sanden Holdings Corporation),A/C compressor pump,A/C Compressor,Electrical
Americas,Tesla,Tesla,Model 3 (USA),2021,Hanon Systems (Formerly Halla Visteon Climate Control),Electric A/C compressor,A/C Compressor,Electrical
Americas,Tesla,Tesla,Model 3 (USA),2021,Quanta Computer Inc.,AD ECU,Advanced Driver Assistance ECU,Electrical
Americas,Tesla,Tesla,Model 3 (USA),2021,Fraenkische Industrial Pipes Mexico S.A. de C.V.,Front cooling manifold tube,Air Conditioning / HVAC,Electrical
Americas,Tesla,Tesla,Model 3 (USA),2021,Pegatron Corporation,HVAC sensor,Air Conditioning / HVAC,Electrical
Americas,Tesla,Tesla,Model 3 (USA),2021,Robert Bosch Mexico SA de C.V.,Airbag ECU,Airbag ECU,Electrical
Americas,Tesla,Tesla,Model 3 (USA),2021,Vodafone Automotive SpA,Car alarm,Anti-theft / Immobilizer,Electrical
Americas,Tesla,Tesla,Model 3 (USA),2021,Quanta Computer Inc.,Low-voltage controller,Body Control ECU,Electrical
Americas,Tesla,Tesla,Model 3 (USA),2021,Quanta Computer Inc.,Audio external amplifier,Car Audio,Electrical
Americas,Tesla,Tesla,Model 3 (USA),2021,Harman Becker Automotive Systems GmbH,Radio receiver,Car Audio,Electrical
Americas,Tesla,Tesla,Model 3 (USA),2021,Premium Sound Solutions America LLC,Speaker,Car Audio,Electrical
Americas,Tesla,Tesla,Model 3 (USA),2021,MAHLE Behr USA Inc.,A/C condenser,Condenser,Electrical
Americas,Tesla,Tesla,Model 3 (USA),2021,Lens International (HK) Ltd.,Center display assembly,Display,Electrical
Americas,Tesla,Tesla,Model 3 (USA),2021,Pegatron Corporation,USB hub,Electrical Connector,Electrical
Americas,Tesla,Tesla,Model 3 (USA),2021,Pegatron Corporation,Integrated ECU,Electronic Control Unit,Electrical
Americas,Tesla,Tesla,Model 3 (USA),2021,Quanta Computer Inc.,Trailer hitch ECU,Electronic Control Unit,Electrical
Americas,Tesla,Tesla,Model 3 (USA),2021,Seger Ses Ve Elektrikli Gerecler San. A. S.,Horn,Horn,Electrical
Americas,Tesla,Tesla,Model 3 (USA),2021,"Luxshare Precision Industry Co., Ltd.",Center console inductive smartphone charger,In-Vehicle Infotainment Unit,Electrical
Americas,Tesla,Tesla,Model 3 (USA),2021,BCS Automotive Interface Solutions GmbH (Formerly TRW Automotive Electronics & Components GmbH),Wireless smartphone charger,In-Vehicle Infotainment Unit,Electrical
Americas,Tesla,Tesla,Model 3 (USA),2021,"Nissha USA, Inc.",NFC Keycard,Keyless Entry / Start System,Electrical
